energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0.313,0.078,170.132,0.194,0.469,0.122,4,0.71,7,107316,-9.86,0.306,1,audio_features,spotify:track:3itBlxwBfdVPiAM6yTsX77
0.77,0.325,150.107,0.0429,0.0001,0.000743,4,0.503,11,245320,-7.003,0.762,0,audio_features,spotify:track:1v7w94vaYr1gcVUkIgN7y1
0.892,0.105,94.135,0.132,0.000608,0.525,4,0.215,4,504173,-6.179,0.0636,1,audio_features,spotify:track:02m3K4vn27oLi1s5GWrNPp
0.935,0.935,119.968,0.0344,0.00797,0.813,4,0.779,7,173315,-5.324,0.517,1,audio_features,spotify:track:2NCKZeWIu9lqUDfeLKAzfM
0.84,0.112,139.931,0.0341,0.0653,0.875,4,0.775,8,267443,-4.615,0.629,1,audio_features,spotify:track:2PprkYnPPcFyLA7I7v9nqo
0.692,0.0981,92.304,0.12,0.843,1.57e-06,4,0.441,10,148040,-4.945,0.417,0,audio_features,spotify:track:29VdNzgJIxzlIDkIYjFQqS
0.962,0.333,150.012,0.0373,0.0174,0.844,4,0.64,2,272667,-1.871,0.842,1,audio_features,spotify:track:1t7ZwPiCYLOi1xlP235GRa
0.878,0.117,157.031,0.0516,0.00014,0.106,4,0.125,1,524790,-4.247,0.106,1,audio_features,spotify:track:2UCM6Hm8olrSft0vB9nL3g
0.956,0.299,139.954,0.0718,1.16e-05,2.25e-05,4,0.4,2,186535,-4.081,0.22,1,audio_features,spotify:track:7874Z343PEj8TkssG3ySr7
0.913,0.103,127.953,0.0695,0.000229,0.0,4,0.397,9,279000,-3.264,0.11,0,audio_features,spotify:track:2bYy5LSFiCm8kA1TdrozRv
0.957,0.266,76.256,0.112,2.67e-05,1.58e-05,4,0.3,4,157080,-5.993,0.352,1,audio_features,spotify:track:1KdeXVG6x4MsjbAnjiAzbT
0.495,0.0908,115.137,0.0281,0.502,0.12,4,0.631,3,423013,-8.018,0.293,0,audio_features,spotify:track:6XyYSUudysDWutyxTmJkwP
0.754,0.0738,152.946,0.043,0.0701,1.88e-06,4,0.557,9,226468,-5.978,0.536,1,audio_features,spotify:track:6KBEoKa3USckFb0bGFribJ
0.799,0.0788,139.052,0.0468,0.00139,0.0742,4,0.428,4,227340,-6.265,0.228,1,audio_features,spotify:track:1AMADyXgIWayh5vXLZo2qF
0.94,0.156,159.188,0.0535,0.000832,0.781,4,0.28,4,206533,-5.597,0.406,0,audio_features,spotify:track:0i5zjtoRR0U2715BEgUsdS
0.741,0.373,93.027,0.0356,8.51e-06,0.814,4,0.358,2,224839,-6.608,0.427,0,audio_features,spotify:track:6mJ1nbmQOm6iNClo71K5O6
